Device_1,Device_2,Device_3,Device_4,Device_5,Device_6,Device_7,Device_8,Device_9,Device_10
46.4,0.0,43.45,59.4,0.0,104.18,74.19,93.21,0.0,207.25
41.87,0.0,67.35,56.65,0.0,107.09,118.18,0.0,0.0,127.59
0.0,0.0,28.49,77.59,0.0,99.93,161.29,0.0,0.0,121.63
51.77,0.0,82.06,72.18,0.0,100.07,146.7,129.97,0.0,61.06
45.98,0.0,79.72,27.25,0.0,93.07,104.41,122.57,0.0,101.16
33.7,0.0,110.9,67.6,0.0,98.55,98.34,149.58,0.0,124.41
0.0,0.0,56.21,64.42,0.0,107.2,75.8,67.93,0.0,91.11
40.93,0.0,77.58,68.37,0.0,100.19,143.01,111.3,0.0,93.02
50.52,0.0,77.79,104.25,0.0,102.36,112.09,169.42,0.0,171.72
0.0,0.0,94.24,75.64,0.0,91.78,85.49,145.12,0.0,112.94
51.29,0.0,72.27,117.95,0.0,109.64,102.85,94.09,0.0,116.62
61.39,0.0,49.24,95.89,0.0,99.73,77.03,132.41,0.0,120.09
37.65,0.0,100.14,72.61,0.0,92.2,111.09,101.58,0.0,79.6
54.02,0.0,60.46,61.66,0.0,106.92,78.59,0.0,0.0,134.9
43.15,0.0,95.83,88.87,0.0,107.48,125.89,52.89,0.0,131.83
41.29,0.0,95.92,83.6,0.0,93.94,83.51,135.58,0.0,120.26
44.21,0.0,92.29,80.29,0.0,95.98,130.97,117.33,0.0,194.09
0.0,0.0,73.55,137.85,0.0,99.63,112.76,115.4,0.0,115.17
50.56,0.0,64.25,95.42,0.0,99.99,116.38,148.53,0.0,206.71
38.35,0.0,99.14,92.74,0.0,102.99,116.11,126.41,0.0,131.34
59.01,0.0,87.0,85.07,0.0,97.48,123.51,116.92,0.0,81.29
54.66,0.0,62.34,58.9,0.0,95.51,125.72,47.89,0.0,178.22
34.64,0.0,57.57,66.06,0.0,87.85,95.76,128.51,0.0,155.03
64.88,0.0,114.18,89.67,0.0,96.15,29.08,113.36,0.0,118.5
68.96,0.0,91.58,103.09,0.0,93.78,73.59,190.0,0.0,106.71
61.79,0.0,92.54,86.02,0.0,109.25,136.98,130.02,0.0,131.57
48.2,0.0,72.93,104.78,0.0,99.2,94.0,121.63,0.0,184.69
39.29,0.0,49.12,94.74,0.0,101.93,103.01,125.98,0.0,147.91
60.54,0.0,76.23,88.12,0.0,108.05,140.65,168.65,0.0,193.23
45.97,0.0,89.05,78.42,0.0,106.62,115.5,106.92,0.0,165.56
62.22,0.0,67.26,58.82,0.0,97.07,106.21,162.82,0.0,68.73
52.08,0.0,73.16,91.76,0.0,92.55,128.93,157.85,0.0,146.77
59.77,0.0,88.94,94.24,0.0,91.84,82.24,44.68,0.0,169.73
53.56,0.0,93.24,83.49,0.0,94.61,115.78,156.76,0.0,138.96
0.0,0.0,72.23,73.78,0.0,100.88,74.05,146.82,0.0,134.66
50.11,0.0,44.9,108.15,0.0,95.66,173.02,93.17,0.0,133.97
67.86,0.0,70.08,54.93,0.0,93.51,91.46,139.94,0.0,93.24
51.27,0.0,32.26,54.15,0.0,99.2,88.13,144.76,0.0,217.05
54.02,0.0,106.22,107.68,0.0,97.59,155.33,93.71,0.0,138.06
68.83,0.0,94.94,60.27,0.0,104.21,82.35,88.17,0.0,122.34
36.52,0.0,46.59,122.38,0.0,102.36,70.77,104.53,0.0,163.45
37.3,0.0,53.6,83.6,0.0,92.78,149.81,154.21,0.0,100.75
59.69,0.0,49.22,81.81,0.0,97.83,109.24,114.48,0.0,188.21
38.27,0.0,62.41,116.56,0.0,100.62,133.23,113.55,0.0,128.11
69.44,0.0,74.94,97.34,0.0,99.49,120.47,108.78,0.0,118.83
45.86,0.0,71.96,81.74,0.0,98.61,101.65,98.73,0.0,207.82
42.53,0.0,62.62,134.32,0.0,90.7,155.88,116.91,0.0,141.24
69.23,0.0,98.56,70.07,0.0,104.55,80.51,200.25,0.0,100.46
64.81,0.0,44.66,107.05,0.0,98.02,112.53,154.52,0.0,150.79
68.68,0.0,55.37,87.61,0.0,112.28,89.73,111.02,0.0,95.78
59.06,0.0,65.28,117.47,0.0,103.5,124.8,172.22,0.0,197.81
41.39,0.0,68.72,97.34,0.0,94.51,147.94,109.85,0.0,194.19
69.1,0.0,101.7,92.86,0.0,100.79,124.33,199.35,0.0,127.93
47.32,0.0,81.37,62.28,0.0,91.5,122.07,118.83,0.0,137.29
58.02,0.0,49.77,130.63,0.0,105.84,97.56,78.01,0.0,134.66
59.47,0.0,46.78,130.88,0.0,96.78,51.53,107.68,0.0,148.71
48.45,0.0,102.77,67.15,0.0,98.48,75.57,120.34,0.0,167.31
56.14,0.0,70.02,69.04,0.0,103.41,129.46,79.47,0.0,95.17
59.22,0.0,83.2,82.63,0.0,96.78,92.63,124.56,0.0,146.13
53.76,0.0,59.92,97.68,0.0,101.4,125.26,108.66,0.0,116.17
39.01,0.0,105.22,108.25,0.0,95.88,129.28,127.89,0.0,73.42
52.98,0.0,64.03,103.82,0.0,101.71,143.94,229.46,0.0,125.56
63.26,0.0,68.6,71.49,0.0,95.18,106.29,43.29,0.0,138.05
43.05,0.0,65.22,89.2,0.0,95.28,78.71,178.25,0.0,200.29
48.5,0.0,70.96,66.02,0.0,94.34,104.87,133.35,0.0,114.37
45.65,0.0,68.88,93.77,0.0,101.48,108.56,161.84,0.0,132.73
68.49,0.0,41.98,48.61,0.0,89.5,132.84,113.27,0.0,240.77
56.72,0.0,61.85,103.03,0.0,95.19,128.4,72.81,0.0,121.68
54.07,0.0,90.91,89.47,0.0,102.99,121.94,142.16,0.0,189.66
42.3,0.0,25.77,90.41,0.0,97.15,103.27,79.07,0.0,179.83
55.39,0.0,72.01,102.21,0.0,85.93,79.63,89.51,0.0,159.21
43.26,0.0,46.56,102.39,0.0,95.18,90.97,196.62,0.0,138.61
50.32,0.0,109.89,114.41,0.0,88.58,139.79,138.9,0.0,123.78
43.64,0.0,55.19,84.17,0.0,92.82,94.0,169.51,0.0,174.2
56.76,0.0,33.06,134.87,0.0,87.49,142.83,147.76,0.0,104.48
55.77,0.0,62.67,53.09,0.0,94.94,111.54,121.81,0.0,131.11
47.92,0.0,103.56,68.96,0.0,93.06,109.43,167.25,0.0,209.79
53.96,0.0,62.71,59.86,0.0,94.6,128.14,107.87,0.0,102.64
39.07,0.0,74.63,66.51,0.0,105.61,128.11,184.76,0.0,124.56
35.09,0.0,57.3,115.98,0.0,85.29,87.45,128.56,0.0,144.37
54.39,0.0,48.82,53.62,0.0,95.71,94.24,142.69,0.0,174.03
51.67,0.0,62.67,71.42,0.0,104.43,76.8,154.94,0.0,148.65
56.35,0.0,43.26,61.65,0.0,106.75,138.41,167.38,0.0,169.76
73.83,0.0,96.11,66.52,0.0,108.24,111.93,158.97,0.0,81.21
59.44,0.0,71.1,72.7,0.0,89.82,127.9,108.64,0.0,54.84
40.87,0.0,46.87,142.39,0.0,102.32,102.42,166.9,0.0,113.81
61.17,0.0,66.24,123.85,0.0,102.06,74.33,136.79,0.0,143.09
36.84,0.0,35.69,90.0,0.0,107.54,126.02,105.18,0.0,175.01
45.38,0.0,64.38,65.86,0.0,100.81,107.32,95.9,0.0,131.81
49.32,0.0,77.2,43.72,0.0,101.49,122.44,124.26,0.0,127.47
67.13,0.0,55.57,81.68,0.0,101.72,114.08,142.77,0.0,184.23
42.55,0.0,80.41,113.28,0.0,106.25,104.55,104.68,0.0,123.89
41.74,0.0,82.39,57.42,0.0,108.49,148.22,143.25,0.0,72.83
49.02,0.0,71.19,50.25,0.0,102.61,97.06,92.61,0.0,193.22
43.37,0.0,96.84,102.7,0.0,96.96,94.94,82.86,0.0,85.78
61.27,0.0,105.22,65.5,0.0,92.6,115.76,84.61,0.0,140.07
39.2,0.0,61.41,54.06,0.0,105.06,98.64,204.45,0.0,108.25
38.53,0.0,84.21,64.08,0.0,106.4,119.99,151.24,0.0,155.82
45.62,0.0,65.4,88.82,0.0,95.18,82.87,105.57,0.0,80.1
45.02,0.0,46.09,90.55,0.0,100.12,106.55,162.16,0.0,144.84
69.3,0.0,100.87,75.43,0.0,103.5,117.57,139.49,0.0,96.91
59.49,0.0,74.76,65.14,0.0,105.28,125.81,146.01,0.0,116.06
50.88,0.0,85.34,136.29,0.0,93.94,56.36,167.12,0.0,241.18
37.75,0.0,27.8,97.81,0.0,92.27,137.23,105.63,0.0,99.99
58.44,0.0,82.83,66.24,0.0,96.43,91.54,117.96,0.0,72.07
40.0,0.0,41.39,58.32,0.0,98.5,83.53,149.01,0.0,75.04
34.55,0.0,59.93,73.67,0.0,106.75,84.78,120.52,0.0,194.28
61.88,0.0,66.38,55.97,0.0,105.16,109.93,85.24,0.0,93.32
53.17,0.0,50.6,92.77,0.0,89.24,96.94,189.77,0.0,96.8
59.21,0.0,88.57,55.53,0.0,98.7,111.43,104.53,0.0,127.96
53.19,0.0,94.49,99.28,0.0,102.36,135.05,107.31,0.0,100.65
58.57,0.0,52.94,81.31,0.0,100.72,152.79,80.64,0.0,102.22
43.49,0.0,77.76,75.89,0.0,97.43,128.77,171.42,0.0,128.29
39.66,0.0,44.05,74.0,0.0,104.41,63.07,118.25,0.0,136.78
56.82,0.0,55.29,106.8,0.0,102.08,73.08,127.01,0.0,147.9
41.97,0.0,73.94,73.08,0.0,104.87,74.15,80.63,0.0,137.71
43.1,0.0,95.67,100.85,0.0,97.04,99.27,75.46,0.0,79.62
45.44,0.0,65.79,57.18,0.0,102.55,138.49,153.08,0.0,182.13
50.17,0.0,66.94,95.06,0.0,103.66,149.27,103.63,0.0,232.26
46.46,0.0,66.02,50.32,0.0,100.89,106.2,41.7,0.0,103.58
36.25,0.0,83.12,94.71,0.0,102.2,72.55,41.43,0.0,128.45
43.56,0.0,73.35,60.41,0.0,96.25,87.24,152.33,0.0,96.67
27.77,0.0,78.3,80.07,0.0,104.65,119.49,134.85,0.0,161.65
56.25,0.0,64.12,102.87,0.0,99.43,61.92,180.22,0.0,60.57
33.98,0.0,61.81,79.94,0.0,101.05,153.17,106.08,0.0,214.48
38.96,0.0,53.57,71.44,0.0,98.08,136.7,116.83,0.0,153.36
50.52,0.0,60.46,74.14,0.0,100.72,22.18,171.98,0.0,227.23
42.6,0.0,88.08,73.53,0.0,109.6,70.93,114.98,0.0,106.6
65.43,0.0,94.28,94.65,0.0,105.83,106.83,133.97,0.0,101.04
37.07,0.0,87.3,87.25,0.0,99.8,115.14,72.26,0.0,228.94
52.67,0.0,47.42,30.2,0.0,103.78,82.7,125.86,0.0,151.65
49.61,0.0,91.4,67.31,0.0,103.59,139.89,153.08,0.0,82.35
38.32,0.0,67.15,53.61,0.0,99.0,98.57,125.85,0.0,178.52
55.23,0.0,52.55,45.24,0.0,101.1,8.79,160.4,0.0,130.2
48.28,0.0,37.74,58.46,0.0,102.21,135.89,71.92,0.0,164.81
57.72,0.0,71.5,125.49,0.0,91.1,70.56,62.91,0.0,168.3
58.24,0.0,78.56,117.27,0.0,97.09,128.44,135.39,0.0,155.55
71.63,0.0,72.66,108.93,0.0,91.75,88.97,152.97,0.0,142.33
63.37,0.0,27.18,-9.53,0.0,98.1,132.5,134.77,0.0,129.83
46.31,0.0,51.87,56.39,0.0,102.75,186.39,151.12,0.0,200.64
47.61,0.0,62.71,63.59,0.0,87.74,116.45,152.86,0.0,162.32
61.0,0.0,41.18,30.1,0.0,101.06,68.17,101.29,0.0,190.54
56.55,0.0,52.03,69.31,0.0,96.71,102.83,112.58,0.0,127.46
0.0,0.0,78.38,30.06,0.0,101.19,65.43,126.77,0.0,148.39
33.83,0.0,57.51,106.29,0.0,107.07,147.66,79.79,0.0,96.41
49.76,0.0,90.27,115.09,0.0,100.95,86.16,0.0,0.0,118.91
42.62,0.0,69.08,59.4,0.0,98.67,113.92,177.04,0.0,141.55
52.8,0.0,45.69,74.55,0.0,92.83,95.69,0.0,0.0,177.08
49.02,0.0,52.38,102.11,0.0,99.93,101.14,120.24,0.0,138.28
59.1,0.0,88.15,90.92,0.0,105.26,97.47,67.69,0.0,178.92
53.17,0.0,18.88,57.12,0.0,97.75,132.94,114.8,0.0,71.63
57.86,0.0,113.15,92.73,0.0,101.97,112.12,157.89,0.0,122.89
0.0,0.0,60.82,69.19,0.0,102.29,109.89,158.04,0.0,105.09
40.56,0.0,50.14,72.75,0.0,96.86,104.94,0.0,0.0,167.8
45.9,0.0,107.34,84.02,0.0,97.57,71.36,0.0,0.0,192.4
49.83,0.0,61.65,81.08,0.0,98.43,138.84,130.53,0.0,122.44
53.79,0.0,89.47,98.06,0.0,103.97,139.94,126.14,0.0,118.25
72.59,0.0,59.61,20.73,0.0,101.03,159.0,125.36,0.0,117.05
0.0,0.0,106.62,77.12,0.0,95.45,121.29,170.08,0.0,189.95
40.44,0.0,65.71,73.89,0.0,101.89,56.64,86.49,0.0,229.95
46.54,0.0,63.47,37.34,0.0,102.38,106.36,166.21,0.0,140.54
45.36,0.0,55.72,23.74,0.0,102.75,93.51,96.47,0.0,174.83
0.0,0.0,29.24,104.06,0.0,98.78,61.01,0.0,0.0,132.68
34.59,0.0,59.87,56.99,0.0,101.89,78.89,111.05,0.0,127.63
50.63,0.0,83.44,93.89,0.0,104.68,55.65,0.0,0.0,146.75
51.57,0.0,94.51,117.34,0.0,105.44,113.14,127.32,0.0,133.59
52.32,0.0,49.49,58.65,0.0,104.71,61.15,108.18,0.0,174.02
44.03,0.0,75.83,90.3,0.0,102.85,114.09,60.0,0.0,129.17
47.62,0.0,58.16,90.5,0.0,100.64,90.7,117.27,0.0,103.67
35.76,0.0,84.98,107.09,0.0,91.96,125.37,0.0,0.0,102.69
45.07,0.0,103.45,99.23,0.0,104.96,136.2,96.89,0.0,165.19
0.0,0.0,86.79,102.65,0.0,110.17,54.81,149.9,0.0,167.17
54.16,0.0,104.36,35.14,0.0,104.36,121.38,121.56,0.0,121.88
38.44,0.0,37.08,37.66,0.0,106.08,43.73,0.0,0.0,168.88
57.81,0.0,35.53,107.0,0.0,105.42,113.47,91.64,0.0,92.48
64.94,0.0,103.56,152.87,0.0,100.39,103.59,127.0,0.0,206.24
29.3,0.0,82.56,64.32,0.0,104.72,134.87,90.35,0.0,164.76
54.26,0.0,45.4,53.24,0.0,105.9,123.95,143.13,0.0,160.79
56.77,0.0,74.13,52.59,0.0,108.57,83.17,123.04,0.0,125.16
43.63,0.0,104.87,111.73,0.0,104.17,122.53,91.18,0.0,183.97
46.03,0.0,74.69,78.32,0.0,98.3,91.18,119.86,0.0,189.85
48.67,0.0,85.21,91.71,0.0,92.89,110.67,92.13,0.0,169.19
47.02,0.0,63.23,74.3,0.0,95.04,80.47,136.58,0.0,187.67
46.91,0.0,65.79,37.58,0.0,106.86,126.08,44.02,0.0,241.03
33.24,0.0,70.12,76.76,0.0,85.93,62.41,0.0,0.0,74.67
61.52,0.0,98.52,114.78,0.0,107.96,93.99,0.0,0.0,154.59
60.8,0.0,70.28,57.92,0.0,100.26,109.25,0.0,0.0,165.69
41.87,0.0,61.19,66.57,0.0,98.32,71.43,86.59,0.0,130.2
35.34,0.0,75.41,10.45,0.0,100.84,134.99,118.54,0.0,74.5
55.21,0.0,48.51,105.13,0.0,110.42,66.26,122.91,0.0,178.79
44.24,0.0,43.15,80.73,0.0,100.86,72.31,0.0,0.0,107.94
51.42,0.0,66.57,82.67,0.0,96.24,131.61,64.96,0.0,119.08
0.0,0.0,45.11,83.85,0.0,96.9,126.48,101.08,0.0,86.05
56.92,0.0,52.05,90.78,0.0,97.84,139.44,183.01,0.0,122.56
56.95,0.0,69.45,78.67,0.0,104.36,129.97,78.99,0.0,103.6
42.74,0.0,96.97,74.45,0.0,91.72,116.53,113.18,0.0,65.07
0.0,0.0,64.42,47.68,0.0,99.67,117.44,162.14,0.0,109.68
34.17,0.0,90.5,131.17,0.0,98.98,91.44,140.98,0.0,161.13
56.1,0.0,72.36,96.79,0.0,96.82,163.2,206.18,0.0,97.25
38.11,0.0,62.44,43.39,0.0,97.76,77.96,68.56,0.0,163.61
44.93,0.0,65.72,67.1,0.0,97.74,119.35,55.42,0.0,123.8
44.04,0.0,78.16,101.77,0.0,105.16,138.8,89.31,0.0,188.39
49.47,0.0,76.35,61.5,0.0,96.86,91.04,122.3,0.0,156.34
30.64,0.0,77.39,123.8,0.0,104.16,58.24,97.97,0.0,39.24
51.89,0.0,-1.04,98.48,0.0,103.42,105.25,120.53,0.0,118.02
55.24,0.0,69.5,107.69,0.0,93.37,101.46,154.09,0.0,144.04
50.88,0.0,90.43,56.26,0.0,97.14,132.53,72.87,0.0,162.85
0.0,0.0,82.23,72.57,0.0,105.62,130.17,181.13,0.0,150.96
50.97,0.0,52.53,35.51,0.0,101.62,92.72,74.62,0.0,170.01
53.99,0.0,108.32,70.84,0.0,103.78,121.93,66.17,0.0,148.73
22.27,0.0,91.52,89.44,0.0,94.28,101.9,120.09,0.0,193.81
69.56,0.0,90.82,70.91,0.0,106.12,144.4,101.59,0.0,197.29
53.9,0.0,67.47,105.96,0.0,102.38,148.68,93.84,0.0,128.51
43.48,0.0,66.77,103.18,0.0,101.32,86.15,125.63,0.0,164.58
46.09,0.0,47.95,104.77,0.0,98.17,73.06,129.52,0.0,173.37
54.94,0.0,84.34,91.54,0.0,99.12,187.76,143.09,0.0,177.14
48.84,0.0,108.23,35.36,0.0,91.9,152.32,110.6,0.0,40.07
29.69,0.0,55.65,107.68,0.0,108.53,34.13,128.03,0.0,113.27
70.64,0.0,64.32,68.62,0.0,104.05,28.81,123.8,0.0,115.68
48.89,0.0,73.63,75.26,0.0,101.51,171.48,128.2,0.0,166.97
60.2,0.0,71.02,98.36,0.0,107.92,105.27,136.69,0.0,164.87
43.08,0.0,73.2,76.04,0.0,106.86,186.17,82.91,0.0,151.91
65.36,0.0,96.41,83.14,0.0,95.29,77.06,0.0,0.0,157.84
52.86,0.0,29.85,69.01,0.0,108.23,128.28,94.93,0.0,173.7
56.09,0.0,92.81,124.75,0.0,94.84,58.59,0.0,0.0,110.74
0.0,0.0,91.55,90.73,0.0,98.66,151.78,101.59,0.0,173.01
62.11,0.0,63.98,51.43,0.0,92.6,107.51,61.67,0.0,245.36
56.9,0.0,69.68,83.39,0.0,109.92,137.47,129.7,0.0,129.07
63.02,0.0,75.9,86.76,0.0,97.19,117.84,101.27,0.0,201.89
43.72,0.0,51.69,7.43,0.0,100.42,93.4,139.83,0.0,60.43
45.19,0.0,71.02,86.59,0.0,101.41,102.16,119.05,0.0,136.35
73.04,0.0,51.63,74.24,0.0,103.61,115.45,0.0,0.0,133.33
39.4,0.0,78.12,116.03,0.0,96.11,103.78,141.13,0.0,140.04
48.64,0.0,50.3,99.75,0.0,93.76,68.3,138.47,0.0,87.98
61.37,0.0,63.87,97.74,0.0,101.1,110.28,122.79,0.0,158.32
50.98,0.0,75.54,75.82,0.0,105.07,93.15,120.8,0.0,201.87
55.83,0.0,83.6,50.92,0.0,99.84,130.71,53.15,0.0,124.15
46.01,0.0,72.75,100.79,0.0,101.11,119.93,172.97,0.0,113.73
53.7,0.0,34.46,66.94,0.0,105.72,96.2,110.39,0.0,175.6
36.93,0.0,90.92,64.94,0.0,96.45,99.34,132.07,0.0,103.51
66.58,0.0,39.99,53.93,0.0,96.08,185.54,109.78,0.0,60.37
48.82,0.0,75.72,52.57,0.0,94.89,161.08,120.43,0.0,170.87
43.2,0.0,78.91,81.88,0.0,97.0,131.41,82.69,0.0,168.26
56.66,0.0,124.23,79.85,0.0,113.02,34.27,92.68,0.0,139.15
45.39,0.0,70.63,93.4,0.0,99.82,107.67,134.21,0.0,173.3
36.66,0.0,70.48,71.26,0.0,94.97,87.85,109.37,0.0,135.69
36.53,0.0,97.72,84.87,0.0,103.81,95.25,100.1,0.0,210.84
56.94,0.0,65.8,53.5,0.0,98.42,96.63,145.39,0.0,168.29
48.4,0.0,80.51,72.36,0.0,97.61,106.37,70.08,0.0,170.31
48.66,0.0,68.15,99.79,0.0,105.18,160.36,132.56,0.0,37.03
60.78,0.0,40.87,63.76,0.0,104.78,94.17,119.12,0.0,182.36
38.73,0.0,102.15,83.9,0.0,91.65,91.78,136.35,0.0,178.32
42.69,0.0,61.76,81.7,0.0,92.02,106.06,181.5,0.0,126.58
46.15,0.0,54.0,84.71,0.0,104.42,48.97,164.78,0.0,175.25
50.94,0.0,60.34,79.15,0.0,99.3,129.96,92.61,0.0,224.72
49.58,0.0,84.25,77.72,0.0,90.33,144.42,182.84,0.0,111.68
47.13,0.0,112.6,162.03,0.0,102.91,74.39,170.54,0.0,165.84
49.38,0.0,69.48,98.67,0.0,106.99,71.42,128.92,0.0,228.65
48.93,0.0,64.65,60.73,0.0,103.89,129.76,101.48,0.0,95.53
42.8,0.0,59.48,63.37,0.0,103.41,168.96,56.9,0.0,109.08
41.87,0.0,66.91,96.54,0.0,105.71,131.29,127.67,0.0,105.93
52.75,0.0,87.24,101.0,0.0,85.96,86.99,128.94,0.0,217.11
41.09,0.0,72.87,84.19,0.0,106.18,120.9,122.08,0.0,142.0
38.43,0.0,93.91,85.65,0.0,100.9,113.48,110.38,0.0,80.07
46.88,0.0,61.86,94.11,0.0,101.37,129.75,89.06,0.0,138.74
48.42,0.0,47.33,56.27,0.0,108.78,105.17,140.88,0.0,145.26
72.57,0.0,66.34,69.7,0.0,104.02,115.8,111.51,0.0,53.98
42.95,0.0,67.65,100.22,0.0,107.7,119.5,112.78,0.0,124.54
59.43,0.0,72.86,138.72,0.0,106.21,93.16,143.2,0.0,82.05
57.47,0.0,57.49,80.15,0.0,98.16,113.5,80.15,0.0,119.55
38.11,0.0,46.93,83.19,0.0,97.96,68.69,121.24,0.0,162.34
57.73,0.0,55.93,92.08,0.0,105.34,149.79,67.59,0.0,124.39
38.16,0.0,81.36,75.03,0.0,105.08,237.25,104.7,0.0,129.83
23.41,0.0,75.78,114.4,0.0,91.54,112.41,126.03,0.0,172.34
56.06,0.0,73.51,103.9,0.0,99.69,103.85,69.41,0.0,160.15
32.44,0.0,81.61,71.81,0.0,99.73,155.81,30.96,0.0,87.71
54.51,0.0,59.74,31.91,0.0,95.69,149.11,157.5,0.0,170.28
43.16,0.0,70.3,79.32,0.0,106.38,126.12,38.74,0.0,136.02
66.6,0.0,88.23,110.17,0.0,106.94,50.31,142.65,0.0,54.77
60.69,0.0,67.85,92.6,0.0,99.83,125.43,111.13,0.0,82.61
45.47,0.0,116.47,131.37,0.0,98.3,129.03,33.31,0.0,187.74
43.12,0.0,46.36,54.97,0.0,96.72,111.81,185.6,0.0,103.09
37.86,0.0,96.72,48.99,0.0,107.01,125.36,131.46,0.0,152.07
45.59,0.0,81.56,39.56,0.0,105.28,122.66,67.81,0.0,71.77
47.2,0.0,75.75,34.73,0.0,100.63,95.91,103.07,0.0,236.23
46.35,0.0,79.18,23.53,0.0,85.89,111.8,193.67,0.0,139.04
